index,fibonacci,golden ratio
0,1,1.0
1,1,0.5
2,2,0.6666666666666666
3,3,0.6
4,5,0.625
5,8,0.6153846153846154
6,13,0.6190476190476191
7,21,0.6176470588235294
8,34,0.6181818181818182
9,55,0.6179775280898876
10,89,0.6180555555555556
11,144,0.6180257510729614
12,233,0.6180371352785146
13,377,0.6180327868852459
14,610,0.6180344478216818
15,987,0.6180338134001252
16,1597,0.6180340557275542
17,2584,0.6180339631667066
18,4181,0.6180339985218034
19,6765,0.618033985017358
20,10946,0.6180339901755971
21,17711,0.6180339882053251
22,28657,0.618033988957902
23,46368,0.6180339886704432
24,75025,0.6180339887802427
25,121393,0.618033988738303
26,196418,0.6180339887543226
27,317811,0.6180339887482036
28,514229,0.6180339887505408
29,832040,0.6180339887496481
30,1346269,0.618033988749989
31,2178309,0.6180339887498588
32,3524578,0.6180339887499086
33,5702887,0.6180339887498896
34,9227465,0.6180339887498969
35,14930352,0.6180339887498941
36,24157817,0.6180339887498951
37,39088169,0.6180339887498948
38,63245986,0.6180339887498949
39,102334155,0.6180339887498948
40,165580141,0.6180339887498949
41,267914296,0.6180339887498948
42,433494437,0.6180339887498949
43,701408733,0.6180339887498949
44,1134903170,0.6180339887498949
45,1836311903,0.6180339887498949
46,2971215073,0.6180339887498949
47,4807526976,0.6180339887498949
48,7778742049,0.6180339887498949
49,12586269025,0.6180339887498949
50,20365011074,0.6180339887498949
51,32951280099,0.6180339887498949
52,53316291173,0.6180339887498949
53,86267571272,0.6180339887498949
54,139583862445,0.6180339887498949
55,225851433717,0.6180339887498949
56,365435296162,0.6180339887498949
57,591286729879,0.6180339887498949
58,956722026041,0.6180339887498949
59,1548008755920,0.6180339887498949
60,2504730781961,0.6180339887498949
61,4052739537881,0.6180339887498949
62,6557470319842,0.6180339887498949
63,10610209857723,0.6180339887498949
64,17167680177565,0.6180339887498949
65,27777890035288,0.6180339887498949
66,44945570212853,0.6180339887498949
67,72723460248141,0.6180339887498949
68,117669030460994,0.6180339887498949
69,190392490709135,0.6180339887498949
70,308061521170129,0.6180339887498949
71,498454011879264,0.6180339887498949
72,806515533049393,0.6180339887498949
73,1304969544928657,0.6180339887498949
74,2111485077978050,0.6180339887498949
75,3416454622906707,0.6180339887498949
76,5527939700884757,0.6180339887498949
77,8944394323791464,0.6180339887498949
78,14472334024676221,0.6180339887498948
79,23416728348467685,0.6180339887498949
80,37889062373143906,0.6180339887498948
81,61305790721611591,0.6180339887498948
82,99194853094755497,0.6180339887498948
83,160500643816367088,0.6180339887498949
84,259695496911122585,0.6180339887498949
85,420196140727489673,0.6180339887498949
86,679891637638612258,0.6180339887498948
87,1100087778366101931,0.6180339887498948
88,1779979416004714189,0.6180339887498949
89,2880067194370816120,0.6180339887498948
90,4660046610375530309,0.6180339887498949
91,7540113804746346429,0.6180339887498948
92,12200160415121876738,0.6180339887498949
93,19740274219868223167,0.6180339887498948
94,31940434634990099905,0.6180339887498948
95,51680708854858323072,0.6180339887498949
96,83621143489848422977,0.6180339887498949
97,135301852344706746049,0.6180339887498948
98,218922995834555169026,0.6180339887498948
